city,topic,中立,反対,賛成,選挙区
あきる野市,外国人労働者の受け入れ拡大,0.0,4.0,11.0,25区
あきる野市,子育て支援の充実,4.0,3.0,8.0,25区
あきる野市,インフラ投資の強化,2.0,7.0,6.0,25区
あきる野市,イノベーションの促進,1.0,3.0,11.0,25区
あきる野市,防衛力の強化,6.0,4.0,5.0,25区
あきる野市,憲法９条の改正,1.0,9.0,5.0,25区
あきる野市,再生可能エネルギーの導入促進,0.0,1.0,14.0,25区
あきる野市,エネルギー安全保障の確保,2.0,9.0,4.0,25区
あきる野市,日米同盟の廃止,6.0,7.0,2.0,25区
あきる野市,教育格差の是正,9.0,2.0,4.0,25区
あきる野市,地域資源の活用,1.0,4.0,10.0,25区
あきる野市,働き方の多様化,1.0,3.0,11.0,25区
あきる野市,労働法制の整備,3.0,1.0,11.0,25区
あきる野市,在宅医療の推進,5.0,1.0,9.0,25区
あきる野市,介護人材の確保,8.0,5.0,2.0,25区
あきる野市,医療費の持続可能性確保,5.0,9.0,1.0,25区
あきる野市,サイバーセキュリティの強化,8.0,3.0,4.0,25区
あきる野市,電子政府（e-Government）の推進,4.0,8.0,3.0,25区
三宅村,外国人労働者の受け入れ拡大,0.0,0.0,2.0,3区
三宅村,子育て支援の充実,1.0,0.0,1.0,3区
三宅村,インフラ投資の強化,0.0,1.0,1.0,3区
三宅村,イノベーションの促進,0.0,0.0,2.0,3区
三宅村,防衛力の強化,1.0,0.0,1.0,3区
三宅村,憲法９条の改正,0.0,1.0,1.0,3区
三宅村,再生可能エネルギーの導入促進,0.0,0.0,2.0,3区
三宅村,エネルギー安全保障の確保,1.0,1.0,0.0,3区
三宅村,日米同盟の廃止,1.0,1.0,0.0,3区
三宅村,教育格差の是正,2.0,0.0,0.0,3区
三宅村,地域資源の活用,0.0,1.0,1.0,3区
三宅村,働き方の多様化,0.0,2.0,0.0,3区
三宅村,労働法制の整備,1.0,1.0,0.0,3区
三宅村,在宅医療の推進,1.0,0.0,1.0,3区
三宅村,介護人材の確保,2.0,0.0,0.0,3区
三宅村,医療費の持続可能性確保,0.0,2.0,0.0,3区
三宅村,サイバーセキュリティの強化,2.0,0.0,0.0,3区
三宅村,電子政府（e-Government）の推進,0.0,2.0,0.0,3区
三鷹市,外国人労働者の受け入れ拡大,0.0,6.0,8.0,22区
三鷹市,子育て支援の充実,6.0,2.0,6.0,22区
三鷹市,インフラ投資の強化,0.0,10.0,4.0,22区
三鷹市,イノベーションの促進,2.0,3.0,9.0,22区
三鷹市,防衛力の強化,9.0,2.0,3.0,22区
三鷹市,憲法９条の改正,1.0,12.0,1.0,22区
三鷹市,再生可能エネルギーの導入促進,1.0,2.0,11.0,22区
三鷹市,エネルギー安全保障の確保,1.0,10.0,3.0,22区
三鷹市,日米同盟の廃止,4.0,10.0,0.0,22区
三鷹市,教育格差の是正,4.0,3.0,7.0,22区
三鷹市,地域資源の活用,1.0,4.0,9.0,22区
三鷹市,働き方の多様化,0.0,9.0,5.0,22区
三鷹市,労働法制の整備,3.0,1.0,10.0,22区
三鷹市,在宅医療の推進,4.0,0.0,10.0,22区
三鷹市,介護人材の確保,10.0,1.0,3.0,22区
三鷹市,医療費の持続可能性確保,1.0,10.0,3.0,22区
三鷹市,サイバーセキュリティの強化,6.0,2.0,6.0,22区
三鷹市,電子政府（e-Government）の推進,4.0,9.0,1.0,22区
世田谷区,外国人労働者の受け入れ拡大,3.0,24.0,30.0,5区
世田谷区,外国人労働者の受け入れ拡大,3.0,24.0,30.0,6区
世田谷区,子育て支援の充実,18.0,6.0,33.0,5区
世田谷区,子育て支援の充実,18.0,6.0,33.0,6区
世田谷区,インフラ投資の強化,2.0,32.0,23.0,5区
世田谷区,インフラ投資の強化,2.0,32.0,23.0,6区
世田谷区,イノベーションの促進,3.0,17.0,37.0,5区
世田谷区,イノベーションの促進,3.0,17.0,37.0,6区
世田谷区,防衛力の強化,26.0,16.0,15.0,5区
世田谷区,防衛力の強化,26.0,16.0,15.0,6区
世田谷区,憲法９条の改正,5.0,34.0,18.0,5区
世田谷区,憲法９条の改正,5.0,34.0,18.0,6区
世田谷区,再生可能エネルギーの導入促進,6.0,13.0,38.0,5区
世田谷区,再生可能エネルギーの導入促進,6.0,13.0,38.0,6区
世田谷区,エネルギー安全保障の確保,6.0,44.0,7.0,5区
世田谷区,エネルギー安全保障の確保,6.0,44.0,7.0,6区
世田谷区,日米同盟の廃止,22.0,34.0,1.0,5区
世田谷区,日米同盟の廃止,22.0,34.0,1.0,6区
世田谷区,教育格差の是正,22.0,12.0,23.0,5区
世田谷区,教育格差の是正,22.0,12.0,23.0,6区
世田谷区,地域資源の活用,6.0,27.0,24.0,5区
世田谷区,地域資源の活用,6.0,27.0,24.0,6区
世田谷区,働き方の多様化,1.0,31.0,25.0,5区
世田谷区,働き方の多様化,1.0,31.0,25.0,6区
世田谷区,労働法制の整備,12.0,7.0,38.0,5区
世田谷区,労働法制の整備,12.0,7.0,38.0,6区
世田谷区,在宅医療の推進,13.0,2.0,42.0,5区
世田谷区,在宅医療の推進,13.0,2.0,42.0,6区
世田谷区,介護人材の確保,32.0,15.0,10.0,5区
世田谷区,介護人材の確保,32.0,15.0,10.0,6区
世田谷区,医療費の持続可能性確保,9.0,33.0,15.0,5区
世田谷区,医療費の持続可能性確保,9.0,33.0,15.0,6区
世田谷区,サイバーセキュリティの強化,40.0,3.0,14.0,5区
世田谷区,サイバーセキュリティの強化,40.0,3.0,14.0,6区
世田谷区,電子政府（e-Government）の推進,8.0,43.0,6.0,5区
世田谷区,電子政府（e-Government）の推進,8.0,43.0,6.0,6区
中央区,外国人労働者の受け入れ拡大,0.0,10.0,6.0,2区
中央区,子育て支援の充実,7.0,2.0,7.0,2区
中央区,インフラ投資の強化,0.0,7.0,9.0,2区
中央区,イノベーションの促進,0.0,7.0,9.0,2区
中央区,防衛力の強化,8.0,2.0,6.0,2区
中央区,憲法９条の改正,1.0,10.0,5.0,2区
中央区,再生可能エネルギーの導入促進,8.0,0.0,8.0,2区
中央区,エネルギー安全保障の確保,4.0,10.0,2.0,2区
中央区,日米同盟の廃止,6.0,9.0,1.0,2区
中央区,教育格差の是正,5.0,5.0,6.0,2区
中央区,地域資源の活用,0.0,5.0,11.0,2区
中央区,働き方の多様化,0.0,8.0,8.0,2区
中央区,労働法制の整備,4.0,0.0,12.0,2区
中央区,在宅医療の推進,5.0,2.0,9.0,2区
中央区,介護人材の確保,9.0,6.0,1.0,2区
中央区,医療費の持続可能性確保,2.0,6.0,8.0,2区
中央区,サイバーセキュリティの強化,12.0,1.0,3.0,2区
中央区,電子政府（e-Government）の推進,6.0,6.0,4.0,2区
中野区,外国人労働者の受け入れ拡大,1.0,7.0,10.0,27区
中野区,子育て支援の充実,7.0,2.0,9.0,27区
中野区,インフラ投資の強化,1.0,9.0,8.0,27区
中野区,イノベーションの促進,0.0,7.0,11.0,27区
中野区,防衛力の強化,14.0,1.0,3.0,27区
中野区,憲法９条の改正,0.0,14.0,4.0,27区
中野区,再生可能エネルギーの導入促進,0.0,6.0,12.0,27区
中野区,エネルギー安全保障の確保,2.0,12.0,4.0,27区
中野区,日米同盟の廃止,7.0,8.0,3.0,27区
中野区,教育格差の是正,8.0,0.0,10.0,27区
中野区,地域資源の活用,4.0,5.0,9.0,27区
中野区,働き方の多様化,1.0,7.0,10.0,27区
中野区,労働法制の整備,2.0,5.0,11.0,27区
中野区,在宅医療の推進,1.0,1.0,16.0,27区
中野区,介護人材の確保,11.0,3.0,4.0,27区
中野区,医療費の持続可能性確保,3.0,8.0,7.0,27区
中野区,サイバーセキュリティの強化,13.0,2.0,3.0,27区
中野区,電子政府（e-Government）の推進,8.0,10.0,0.0,27区
八丈町,外国人労働者の受け入れ拡大,0.0,1.0,1.0,3区
八丈町,子育て支援の充実,1.0,0.0,1.0,3区
八丈町,インフラ投資の強化,0.0,1.0,1.0,3区
八丈町,イノベーションの促進,0.0,1.0,1.0,3区
八丈町,防衛力の強化,2.0,0.0,0.0,3区
八丈町,憲法９条の改正,0.0,0.0,2.0,3区
八丈町,再生可能エネルギーの導入促進,0.0,0.0,2.0,3区
八丈町,エネルギー安全保障の確保,0.0,2.0,0.0,3区
八丈町,日米同盟の廃止,1.0,0.0,1.0,3区
八丈町,教育格差の是正,2.0,0.0,0.0,3区
八丈町,地域資源の活用,0.0,2.0,0.0,3区
八丈町,働き方の多様化,0.0,0.0,2.0,3区
八丈町,労働法制の整備,1.0,0.0,1.0,3区
八丈町,在宅医療の推進,0.0,1.0,1.0,3区
八丈町,介護人材の確保,2.0,0.0,0.0,3区
八丈町,医療費の持続可能性確保,0.0,1.0,1.0,3区
八丈町,サイバーセキュリティの強化,1.0,0.0,1.0,3区
八丈町,電子政府（e-Government）の推進,0.0,2.0,0.0,3区
八王子市,外国人労働者の受け入れ拡大,3.0,18.0,11.0,21区
八王子市,外国人労働者の受け入れ拡大,3.0,18.0,11.0,24区
八王子市,子育て支援の充実,11.0,2.0,19.0,21区
八王子市,子育て支援の充実,11.0,2.0,19.0,24区
八王子市,インフラ投資の強化,0.0,16.0,16.0,21区
八王子市,インフラ投資の強化,0.0,16.0,16.0,24区
八王子市,イノベーションの促進,1.0,8.0,23.0,21区
八王子市,イノベーションの促進,1.0,8.0,23.0,24区
八王子市,防衛力の強化,17.0,9.0,6.0,21区
八王子市,防衛力の強化,17.0,9.0,6.0,24区
八王子市,憲法９条の改正,2.0,21.0,9.0,21区
八王子市,憲法９条の改正,2.0,21.0,9.0,24区
八王子市,再生可能エネルギーの導入促進,4.0,4.0,24.0,21区
八王子市,再生可能エネルギーの導入促進,4.0,4.0,24.0,24区
