選挙区,候補者名,年齢,性別,所属,経歴・特徴,主要政策,スローガン,得票率,当落
1区,田中 一郎,52,男,自由民政党(JMP),地元の経済団体と連携するベテラン。,在宅医療の推進・再エネ導入拡大・イノベーション促進,地域から未来をつくる医療と技術！,29.8,当選
1区,山本 花,43,女,進歩未来党(SFP),子育て支援NPO出身。女性支援に注力。,子育て支援充実・労働法制整備・ジェンダー平等,みんなが安心して働ける社会へ,26.4,落選
1区,佐藤 大輔,60,男,日本共和党(NPP),保守系団体幹部。憲法改正を訴える。,防衛力強化・憲法9条改正・国益最優先,誇りある日本を再興する！,16.2,落選
1区,小泉 里奈,38,女,立憲民主フォーラム(LDF),法律家。弱者の権利擁護。,教育格差の是正・在宅医療サポート・最低賃金引き上げ,誰もが生きやすい仕組みを,15.3,落選
1区,青木 翔太,35,男,日本改革の会(NRP),IT起業家。DX推進派。,電子政府(e-Gov)推進・サイバーセキュリティ強化・働き方改革,テクノロジーで政治を変える,12.3,落選
2区,北原 真,50,男,自由民政党(JMP),元商社マン。インフラ投資に積極的。,インフラ強化・エネルギー安全保障・地域資源の活用,強い基盤が日本を支える,28.7,当選
2区,古川 理恵,45,女,進歩未来党(SFP),教育支援NPO運営。子どもの貧困対策。,子育て支援拡充・教育格差是正・在宅医療支援,子どもの未来をまもる政治,27.0,落選
2区,大橋 健一,58,男,日本共和党(NPP),タカ派。憲法改正と防衛力アップ主張。,防衛力増強・日米同盟強化・移民規制,国防あってこその繁栄,15.2,落選
2区,篠田 雄介,42,男,立憲民主フォーラム(LDF),労働問題専門の弁護士。,労働法制の整備・最低賃金アップ・介護人材確保,働く人と介護を支える政治,17.9,落選
2区,和泉 美紀,37,女,日本改革の会(NRP),行政DX推進のコンサル出身。,電子政府の推進・イノベーション支援・サイバー対策,新時代に対応する国づくり,11.2,落選
3区,加藤 剛,54,男,自由民政党(JMP),地方議員経験。インフラ優先派。,インフラ投資拡充・防衛力強化・地域振興,安全で豊かな国土をめざす,24.6,落選
3区,伊藤 さくら,39,女,進歩未来党(SFP),医療・福祉の現場経験が長い。,在宅医療推進・介護人材育成・子育て環境整備,人に寄り添う政治を実現,27.2,当選
3区,松田 修,60,男,日本共和党(NPP),保守系。憲法9条改正にも意欲。,憲法改正・防衛費増強・日米同盟維持,誇りある国防と安定を,18.4,落選
3区,黒川 瑞穂,44,女,立憲民主フォーラム(LDF),地方自治体で働いた経験。,教育格差の是正・子育て支援・労働環境改善,暮らしやすい社会を地域から,16.3,落選
